Location Code,Location,Population,House Prices,A_CaffeNero,A_Costa,A_Esquires,A_Greggs,A_MuffinBreak,A_PretAManger,A_Starbucks,C_CaffeNero,C_Costa,C_Esquires,C_Greggs,C_MuffinBreak,C_PretAManger,C_Starbucks
E06000053,Isles of Scilly,"2,242","£370,000.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
E09000001,City of London,"8,706","£930,000.00",0,0,0,0,0,0,34.46,0,0,0,0,0,0,3
S12000023,Orkney Islands,"22,190","£148,633.00",0,4.51,0,0,0,0,0,0,1,0,0,0,0,0
S12000027,Shetland Islands,"22,990","£169,661.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
E07000191,West Somerset,"34,887","£245,000.00",0,0,0,2.87,0,0,0,0,0,0,1,0,0,0
E06000017,Rutland,"39,697","£272,995.00",2.52,5.04,0,0,0,0,0,1,2,0,0,0,0,0
E07000051,Purbeck,"47,135","£291,500.00",0,2.12,0,4.24,0,0,0,0,1,0,2,0,0,0
E07000133,Melton,"51,100","£216,500.00",1.96,1.96,0,1.96,0,0,0,1,1,0,1,0,0,0
S12000005,Clackmannanshire,"51,400","£160,833.00",0,3.89,0,1.95,0,0,0,0,2,0,1,0,0,0
E07000030,Eden,"52,881","£210,000.00",0,5.67,0,5.67,0,0,5.67,0,3,0,3,0,0,3
E07000166,Richmondshire,"53,244","£212,000.00",0,9.39,0,5.63,0,0,0,0,5,0,3,0,0,0
E07000167,Ryedale,"54,920","£230,000.00",0,3.64,0,0,0,0,0,0,2,0,0,0,0,0
E07000047,West Devon,"55,528","£236,000.00",0,3.6,0,1.8,0,0,0,0,2,0,1,0,0,0
E07000163,Craven,"56,832","£201,000.00",1.76,1.76,0,3.52,0,0,3.52,1,1,0,2,0,0,2
E07000135,Oadby and Wigston,"57,056","£210,000.00",0,3.51,0,0,0,0,0,0,2,0,0,0,0,0
E07000124,Ribble Valley,"60,057","£220,000.00",1.67,1.67,0,1.67,0,0,1.67,1,1,0,1,0,0,1
W06000024,Merthyr Tydfil,"60,183","£94,000.00",0,3.32,0,4.98,0,0,0,0,2,0,3,0,0,0
E07000223,Adur,"63,869","£315,000.00",0,1.57,0,0,0,0,0,0,1,0,0,0,0,0
E07000074,Maldon,"64,425","£325,000.00",0,4.66,0,1.55,0,0,0,0,3,0,1,0,0,0
E07000218,North Warwickshire,"64,850","£205,000.00",0,6.17,0,1.54,0,0,9.25,0,4,0,1,0,0,6
E07000201,Forest Heath,"65,399","£220,000.00",1.53,3.06,0,4.59,0,0,12.23,1,2,0,3,0,0,8
E07000053,Weymouth and Portland,"65,865","£220,000.00",1.52,3.04,0,3.04,0,0,0,1,2,0,2,0,0,0
E07000027,Barrow-in-Furness,"67,137","£125,000.00",0,4.47,0,4.47,0,0,0,0,3,0,3,0,0,0
E07000046,Torridge,"68,143","£220,000.00",0,4.4,0,0,0,0,1.47,0,3,0,0,0,0,1
E07000029,Copeland,"68,424","£122,500.00",0,1.46,0,7.31,0,0,0,0,1,0,5,0,0,0
E07000136,Boston,"69,366","£160,000.00",1.44,2.88,0,5.77,0,0,2.88,1,2,0,4,0,0,2
W06000019,Blaenau Gwent,"69,713","£86,000.00",0,1.43,0,4.3,0,0,0,0,1,0,3,0,0,0
W06000001,Isle of Anglesey,"69,961","£169,950.00",0,0,0,0,0,0,0,0,0,0,0,0,0,0
E07000006,South Bucks,"70,043","£560,000.00",1.43,8.57,0,0,0,0,5.71,1,6,0,0,0,0,4
E07000150,Corby,"70,827","£188,000.00",0,1.41,0,5.65,0,0,2.82,0,1,0,4,0,0,2
E07000050,North Dorset,"70,841","£262,500.00",0,4.23,0,1.41,0,0,0,0,3,0,1,0,0,0
E07000125,Rossendale,"70,895","£134,000.00",0,5.64,0,2.82,0,0,0,0,4,0,2,0,0,0
E07000035,Derbyshire Dales,"71,977","£265,000.00",0,4.17,0,2.78,0,0,0,0,3,0,2,0,0,0
W06000008,Ceredigion,"72,992","£180,000.00",1.37,4.11,0,5.48,0,0,1.37,1,3,0,4,0,0,1
E07000068,Brentwood,"76,550","£425,000.00",1.31,2.61,0,2.61,0,0,2.61,1,2,0,2,0,0,2
E07000199,Tamworth,"76,678","£195,000.00",0,7.82,0,5.22,0,0,1.3,0,6,0,4,0,0,1
E07000235,Malvern Hills,"78,113","£275,977.00",2.56,3.84,0,1.28,0,0,0,2,3,0,1,0,0,0
S12000018,Inverclyde,"78,150","£135,125.00",0,3.84,0,6.4,0,0,0,0,3,0,5,0,0,0
E07000156,Wellingborough,"79,478","£209,995.00",0,2.52,0,2.52,0,0,1.26,0,2,0,2,0,0,1
E07000033,Bolsover,"79,530","£130,000.00",0,3.77,0,1.26,0,0,2.51,0,3,0,1,0,0,2
E07000119,Fylde,"79,770","£194,950.00",2.51,2.51,0,3.76,0,0,2.51,2,2,0,3,0,0,2
E07000208,Epsom and Ewell,"79,928","£475,000.00",1.25,3.75,1.25,0,1.25,0,1.25,1,3,1,0,1,0,1
E07000120,Hyndburn,"80,815","£101,500.00",0,4.95,0,1.24,0,0,1.24,0,4,0,1,0,0,1
E07000042,Mid Devon,"81,695","£235,000.00",0,6.12,0,1.22,0,0,0,0,5,0,1,0,0,0
E07000151,Daventry,"84,484","£284,950.00",0,3.55,0,1.18,0,0,0,0,3,0,1,0,0,0
E07000236,Redditch,"84,989","£207,500.00",1.18,3.53,0,3.53,1.18,0,0,1,3,0,3,1,0,0
E07000088,Gosport,"85,283","£205,000.00",0,3.52,0,0,0,0,0,0,3,0,0,0,0,0
E07000044,South Hams,"86,221","£296,475.00",0,2.32,0,0,0,0,0,0,2,0,0,0,0,0
S12000035,Argyll and Bute,"86,260","£172,729.00",0,2.32,0,1.16,0,0,0,0,2,0,1,0,0,0
E07000080,Forest of Dean,"86,543","£223,000.00",0,0,0,1.16,0,0,0,0,0,0,1,0,0,0
E07000073,Harlow,"86,594","£276,750.00",0,5.77,1.15,4.62,0,0,1.15,0,5,1,4,0,0,1
E07000075,Rochford,"86,981","£335,000.00",0,4.6,0,0,0,0,0,0,4,0,0,0,0,0
E07000210,Mole Valley,"87,253","£489,825.00",0,3.44,1.15,0,0,0,0,0,3,1,0,0,0,0
E07000215,Tandridge,"87,496","£424,300.00",2.29,4.57,0,0,0,0,0,2,4,0,0,0,0,0
E07000243,Stevenage,"87,754","£273,500.00",0,5.7,1.14,4.56,0,0,3.42,0,5,1,4,0,0,3
E07000212,Runnymede,"88,000","£399,000.00",1.14,4.55,1.14,0,0,0,1.14,1,4,1,0,0,0,1
E07000117,Burnley,"88,527","£90,000.00",0,1.13,0,3.39,0,0,1.13,0,1,0,3,0,0,1
E07000214,Surrey Heath,"88,874","£415,000.00",0,5.63,0,0,1.13,0,2.25,0,5,0,0,1,0,2
E07000079,Cotswold,"89,022","£350,000.00",1.12,1.12,0,2.25,0,0,0,1,1,0,2,0,0,0
E07000169,Selby,"89,106","£200,000.00",0,2.24,0,1.12,0,0,0,0,2,0,1,0,0,0
S12000039,West Dunbartonshire,"89,130","£120,661.00",0,3.37,0,7.85,0,0,1.12,0,3,0,7,0,0,1
E07000077,Uttlesford,"89,179","£420,000.00",1.12,6.73,0,0,0,4.49,8.97,1,6,0,0,0,4,8
E07000009,East Cambridgeshire,"89,362","£283,500.00",1.12,4.48,0,0,0,0,2.24,1,4,0,0,0,0,2
E07000049,East Dorset,"89,889","£360,500.00",0,3.34,0,3.34,0,0,2.22,0,3,0,3,0,0,2
E07000069,Castle Point,"90,070","£300,000.00",0,2.22,0,0,0,0,0,0,2,0,0,0,0,0
E07000164,Hambleton,"91,134","£228,000.00",2.19,8.78,0,2.19,0,0,2.19,2,8,0,2,0,0,2
S12000019,Midlothian,"91,340","£232,102.00",0,4.38,0,1.09,0,0,0,0,4,0,1,0,0,0
E07000200,Babergh,"91,401","£275,000.00",1.09,3.28,0,2.19,0,0,1.09,1,3,0,2,0,0,1
E07000122,Pendle,"91,405","£105,000.00",0,1.09,0,2.19,0,0,0,0,1,0,2,0,0,0
E07000037,High Peak,"92,221","£190,500.00",1.08,3.25,0,2.17,0,0,0,1,3,0,2,0,0,0
E07000131,Harborough,"92,499","£281,000.00",1.08,2.16,0,1.08,0,0,1.08,1,2,0,1,0,0,1
E07000155,South Northamptonshire,"92,515","£312,500.00",0,2.16,0,1.08,0,0,3.24,0,2,0,1,0,0,3
E07000083,Tewkesbury,"92,599","£270,000.00",0,3.24,0,3.24,0,0,1.08,0,3,0,3,0,0,1
E07000062,Hastings,"92,855","£220,500.00",1.08,3.23,0,0,0,0,0,1,3,0,0,0,0,0
E07000102,Three Rivers,"93,045","£470,000.00",1.07,2.15,0,0,0,0,0,1,2,0,0,0,0,0
W06000020,Torfaen,"93,049","£150,250.00",0,3.22,0,5.37,0,0,1.07,0,3,0,5,0,0,1
E06000001,Hartlepool,"93,242","£125,000.00",0,3.22,0,4.29,0,0,3.22,0,3,0,4,0,0,3
E07000152,East Northamptonshire,"93,906","£225,000.00",1.06,4.26,0,4.26,0,0,1.06,1,4,0,4,0,0,1
E07000140,South Holland,"93,980","£185,000.00",1.06,3.19,0,2.13,0,0,2.13,1,3,0,2,0,0,2
W06000021,Monmouthshire,"94,142","£245,000.00",2.12,5.31,0,6.37,0,0,2.12,2,5,0,6,0,0,2
S12000030,Stirling,"94,330","£215,485.00",1.06,5.3,0,4.24,1.06,0,1.06,1,5,0,4,1,0,1
